SS,FSR,FQE,FRU,PU,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR,insti_id,rank,domain,OE+MIR
10.33,25.0,18.34,19.39,24.73,1.0,5.02,,59.09,,25.39,16.47,24.93,0.0,15.0,11.67,IR-O-U-0304,20,Overall,3.88
20.0,16.86,12.97,434.0,22.14,9.0,0.68,,60.0,,23.42,16.54,23.96,,20.0,41.16,IR-O-U-0490,21,Overall,638.0
18.19,23.7,15.58,647.0,19.01,11.0,0.73,,60.0,,22.47,19.17,27.28,249.0,20.0,20.28,IR-O-U-0473,22,Overall,638.0
16.5,25.0,19.99,812.0,24.36,6.0,0.93,,60.0,,13.63,16.83,30.0,461.0,20.0,642.0,IR-O-I-1441,23,Overall,6.5
8.28,25.0,19.54,17.37,20.07,2.25,441.0,,60.0,,20.08,24.74,26.05,772.0,20.0,16.61,IR-O-U-0101,24,Overall,3.88
17.37,24.99,17.84,10.5,15.93,7.0,243.0,,60.0,,17.23,21.57,30.0,146.0,20.0,28.87,IR-O-U-0363,25,Overall,475.0
13.0,25.0,18.58,11.29,21.19,2.0,138.0,,55.64,,22.88,16.71,26.3,0.0,20.0,29.68,IR-O-U-0042,26,Overall,5.38
10.12,25.0,18.52,11.06,25.7,450.0,135.0,,59.15,,11.61,21.39,15.99,685.0,20.0,17.69,IR-O-U-0273,27,Overall,625.0
17.5,25.0,18.15,7.0,15.7,9.0,2.1,,60.0,,20.53,24.07,30.0,3.67,20.0,8.46,IR-O-U-0356,28,Overall,5.94
15.48,20.02,13.62,613.0,20.48,11.0,2.56,,50.62,,17.2,0.59,25.35,535.0,20.0,6118.0,IR-O-U-0439,29,Overall,738.0
15.0,17.04,13.24,9.97,21.98,6.5,0.82,,60.0,,14.23,17.13,20.9,834.0,20.0,56.51,IR-O-U-0467,30,Overall,4.06
15.24,15.42,12.7,931.0,23.67,8.0,2.06,,59.17,,18.8,19.24,11.2,10.44,20.0,38.97,IR-O-U-0701,31,Overall,438.0
17.85,24.13,14.43,432.0,16.13,11.0,184.0,,60.0,,18.05,22.92,30.0,133.0,20.0,22.48,IR-O-U-0747,32,Overall,438.0
8.26,25.0,18.29,20.0,30.16,0.5,148.0,,47.98,,772.0,18.41,30.0,0.0,20.0,26.56,IR-O-U-0079,33,Overall,249.0
15.85,19.76,16.2,831.0,23.98,450.0,1.79,,60.0,,16.96,14.98,16.37,9.09,20.0,15.78,IR-O-U-0357,34,Overall,475.0
13.38,17.0,14.13,9.1,24.6,5.0,136.0,,53.38,,20.18,20.95,11.79,791.0,20.0,23.19,IR-O-U-0205,35,Overall,8.5
10.07,22.36,1741.0,10.94,21.09,425.0,2.97,,59.76,,12.67,19.74,1481.0,9.57,20.0,16.34,IR-O-U-0064,36,Overall,9.0
16.37,22.79,15.24,442.0,20.4,12.0,181.0,,60.0,,14.32,14.5,28.62,0.0,20.0,,IR-O-U-0497,37,Overall,4.06
15.0,25.0,19.39,12.58,1431.0,5.0,134.0,,60.0,,11.51,23.18,30.0,631.0,20.0,14.64,IR-O-U-0222,38,Overall,475.0
9.0,24.72,19.27,13.24,20.47,0.75,177.0,,60.0,,935.0,22.54,21.28,4.1,20.0,20.03,IR-O-U-0139,39,Overall,7.0
17.5,25.0,16.91,10.45,14.32,4.0,231.0,,60.0,,12.97,13.67,29.7,0.63,20.0,23.19,IR-O-U-0329,40,Overall,3.63
14.0,25.0,1747.0,12.55,9.29,4.0,2.83,,60.0,,26.6,14.71,30.0,945.0,20.0,14.07,IR-O-U-0006,41,Overall,625.0
11.5,24.37,16.75,13.81,13.44,125.0,147.0,,60.0,,34.62,8.09,30.0,5.98,20.0,6.76,IR-O-U-0260,42,Overall,475.0
10.0,25.0,18.95,18.53,17.55,0.5,0.49,,60.0,,10.9,20.67,30.0,0.0,20.0,21.27,IR-O-U-0368,43,Overall,3.25
15.16,24.85,16.93,6.74,18.75,4.0,0.7,,60.0,,12.16,,26.03,1.96,20.0,11.36,IR-O-I-1480,44,Overall,475.0
15.0,24.03,18.85,10.34,16.05,5.0,0.45,,60.0,,12.32,14.06,23.18,10.29,20.0,22.48,IR-O-U-0263,45,Overall,475.0
16.19,25.0,18.31,5.27,18.55,8.0,0.67,,60.0,,13.12,15.9,29.92,0.93,20.0,3.89,IR-O-U-0020,46,Overall,425.0
14.36,25.0,18.39,450.0,16.59,1.0,1.5,,60.0,,28.18,0.47,28.84,2.5,20.0,24.79,IR-O-U-0570,47,Overall,2.56
16.4,24.99,18.31,5.98,13.23,8.0,0.46,,60.0,,14.68,19.48,30.0,7.06,20.0,10.42,IR-O-U-0458,48,Overall,475.0
18.0,20.74,12.43,347.0,15.83,13.0,0.33,,60.0,,931.0,23.81,23.35,2.73,20.0,23.88,IR-O-U-0379,49,Overall,3.75
11.97,25.0,18.92,12.1,18.67,2.25,2.55,,60.0,,15.69,4.76,30.0,419.0,20.0,,IR-O-U-0253,50,Overall,475.0
16.5,25.0,18.23,728.0,12.05,5.0,2.9,,60.0,,14.04,17.13,30.0,465.0,20.0,8.46,IR-O-U-0476,51,Overall,475.0
15.87,25.0,18.93,8.95,11.68,1.0,135.0,,60.0,,29.46,5.3,30.0,8.9,20.0,9.78,IR-O-U-0052,52,Overall,469.0
15.35,25.0,17.53,11.94,11.37,4.0,0.84,,60.0,,26.93,7.69,29.48,0.0,20.0,10.1,IR-O-U-0027,53,Overall,6.06
15.0,15.73,12.61,13.17,19.48,5.0,1.83,,60.0,,13.98,16.85,16.27,955.0,20.0,29.47,IR-O-U-0237,54,Overall,3.25
688.0,24.78,16.5,13.1,19.9,450.0,124.0,,50.6,,9.79,1731.0,22.64,4.28,20.0,23.65,IR-O-U-0305,55,Overall,75.0
10.02,20.57,15.54,1145.0,20.92,1.0,141.0,,60.0,,10.37,22.76,13.28,761.0,20.0,18.48,IR-O-U-0378,56,Overall,838.0
16.47,15.32,11.03,7.5,18.03,2.5,147.0,,46.74,,33.63,16.39,27.58,129.0,20.0,25.46,IR-O-U-0078,57,Overall,644.0
10.05,23.25,18.99,11.7,18.66,450.0,0.76,,56.23,,8.92,24.12,19.21,5.67,20.0,13.78,IR-O-U-0184,58,Overall,5.3
14.6,24.47,18.98,8.0,15.67,125.0,0.71,,60.0,,19.88,0.0,30.0,0.9,20.0,6.07,IR-O-U-0196,59,Overall,8.0
443.0,25.0,19.17,19.86,21.1,0.0,3.29,,60.0,,6.64,10.84,25.63,0.0,20.0,13.48,IR-O-U-0236,60,Overall,431.0
9.3,24.06,17.46,630.0,20.63,0.75,0.84,,60.0,,23.97,0.68,27.14,3.73,20.0,12.28,IR-O-U-0448,61,Overall,425.0
16.5,25.0,10.99,5.52,18.77,2.25,0.92,,60.0,,11.27,13.41,2112.0,1.69,20.0,22.0,IR-O-U-0098,62,Overall,613.0
1439.0,17.3,14.21,8.56,19.68,450.0,0.56,,60.0,,12.82,14.0,14.36,,20.0,23.19,IR-O-U-0025,63,Overall,425.0
15.5,22.38,13.89,6.69,17.52,7.0,0.23,,60.0,,0.78,20.33,24.99,0.09,20.0,19.52,IR-O-U-0564,64,Overall,450.0
9.0,20.47,16.25,8.99,19.82,7.0,126.0,,60.0,,1148.0,5.79,24.39,3.99,20.0,16.06,IR-O-U-0308,65,Overall,438.0
10.14,24.22,18.8,13.53,18.04,125.0,2.5,,60.0,,341.0,20.46,20.71,621.0,20.0,8.8,IR-O-U-0395,66,Overall,3.69
6.96,24.68,18.4,12.28,20.24,125.0,0.7,,57.63,,10.83,12.93,17.64,182.0,20.0,16.61,IR-O-U-0572,67,Overall,5.25
12.2,25.0,19.24,854.0,17.38,0.0,0.59,,48.93,,21.91,2.79,30.0,0.0,20.0,21.76,IR-O-I-1357,68,Overall,413.0
12.0,25.0,19.63,788.0,9.87,0.5,0.56,,60.0,,20.92,18.82,30.0,11.44,20.0,535.0,IR-O-U-0498,69,Overall,475.0
729.0,22.25,16.79,11.46,17.01,2.0,0.58,,60.0,,12.82,23.77,23.92,345.0,20.0,1742.0,IR-O-U-0377,70,Overall,5.3
13.68,25.0,18.82,12.18,14.91,2.0,0.14,,60.0,,577.0,11.92,30.0,0.74,20.0,25.46,IR-O-I-1110,71,Overall,475.0
