insti_ID,nirf_year,domain,fin_year,library,equipment,workshops,studios,capital_assets,salaries,maintenance,seminars,research_amount,consultancy_amount,sponsored_projects,funding_agencies
IR-E-U-0072,2025,Engineering,2023-24,48214940.0,38361122.0,9733738.0,,,682650917.0,416759074.0,9733738.0,66858969.0,97805900.0,41.0,17.0
IR-E-U-0072,2025,Engineering,2022-23,18966527.0,7611992.0,10642437.0,,,681419637.0,412319479.0,10642437.0,45814032.0,86190271.0,82.0,24.0
IR-E-U-0072,2025,Engineering,2021-22,16151220.0,16737706.0,27499926.0,,,592589949.0,287272275.0,27499926.0,42968221.0,71189179.0,81.0,23.0
IR-E-U-0584,2025,Engineering,2023-24,34275212.0,168577770.0,4988442.0,,,1140057806.0,549815206.0,4988442.0,108825918.0,50887301.0,55.0,19.0
IR-E-U-0584,2025,Engineering,2022-23,110825105.0,119928655.0,2775996.0,,,1059625452.0,504199101.0,2775996.0,23583585.0,41377943.0,45.0,17.0
IR-E-U-0584,2025,Engineering,2021-22,30464691.0,74845479.0,320888.0,,,1111547808.0,465117899.0,320888.0,60087711.0,61640960.0,17.0,9.0
IR-E-U-0374,2025,Engineering,2023-24,365337010.0,46033470.0,4405930.0,,,1040001873.0,561357360.0,4405930.0,105472304.0,35171016.0,100.0,25.0
IR-E-U-0374,2025,Engineering,2022-23,64803488.0,62608921.0,3428035.0,,,1017832091.0,266888715.0,3428035.0,17766047.0,10292938.0,74.0,19.0
IR-E-U-0374,2025,Engineering,2021-22,13103429.0,64923148.0,2197815.0,,,753824026.0,327937598.0,2197815.0,16930861.0,14918097.0,58.0,13.0
IR-E-U-0906,2025,Engineering,2023-24,290120830.0,345120335.0,10366864.0,,,,,,461898249.0,50169185.0,85.0,21.0
IR-E-U-0906,2025,Engineering,2022-23,2066394069.0,198997546.0,42796235.0,,,,,,81466560.0,39435974.0,74.0,24.0
IR-E-U-0906,2025,Engineering,2021-22,90941656.0,78517422.0,151458514.0,,,,,,204387863.0,31206365.0,57.0,19.0
IR-E-U-0844,2025,Engineering,2023-24,906306869.0,761033986.0,10092690.0,,,519711016.0,444749580.0,10092690.0,153204173.0,41077728.0,,
IR-E-U-0844,2025,Engineering,2022-23,127113414.0,387810044.0,3458992.0,,,406473898.0,270327094.0,3458992.0,95722646.0,29432238.0,,
IR-E-U-0844,2025,Engineering,2021-22,67503265.0,108143703.0,1572824.0,,,341974384.0,233476680.0,1572824.0,105163210.0,37420024.0,,
IR-E-U-0749,2025,Engineering,2023-24,261895833.0,163415032.0,9506353.0,,,728649917.0,1261918213.0,9506353.0,125678073.0,4399619.0,9.0,7.0
IR-E-U-0749,2025,Engineering,2022-23,90603376.0,71652611.0,8578549.0,,,555573029.0,661166417.0,8578549.0,133832341.0,3012619.0,12.0,11.0
IR-E-U-0749,2025,Engineering,2021-22,66002725.0,21217436.0,6997785.0,,,497973787.0,436137844.0,6997785.0,29168635.0,1697700.0,22.0,13.0
IR-E-C-7252,2025,Engineering,2023-24,120817757.0,212008748.0,16692158.0,,,1353586395.0,740414016.0,16692158.0,53404221.0,4011470.0,,
IR-E-C-7252,2025,Engineering,2022-23,102821147.0,116202110.0,2186408.0,,,1298694065.0,572111457.0,2186408.0,36989565.0,4090892.0,,
IR-E-C-7252,2025,Engineering,2021-22,21943633.0,37653128.0,11075244.0,,,1105278346.0,481300664.0,11075244.0,12322706.0,2683466.0,,
IR-E-U-0739,2025,Engineering,2023-24,183354280.0,120783558.0,21687297.0,,,699642637.0,652240014.0,21687297.0,185866400.0,229021140.0,,
IR-E-U-0739,2025,Engineering,2022-23,147812413.0,55854000.0,26954165.0,,,379739307.0,366370747.0,26954165.0,113700138.0,39162590.0,,
IR-E-U-0739,2025,Engineering,2021-22,27041332.0,54817500.0,3673413.0,,,346444631.0,125478946.0,3673413.0,6600138.0,4926054.0,,
IR-E-U-0255,2025,Engineering,2023-24,28236097.0,171144933.0,7163937.0,,,468978473.0,464487608.0,3748497.0,53780002.0,29169966.0,66.0,15.0
IR-E-U-0255,2025,Engineering,2022-23,27244368.0,177569328.0,238200.0,,,386370379.0,404033525.0,2428612.0,21024765.0,17690000.0,50.0,17.0
IR-E-U-0255,2025,Engineering,2021-22,25828456.0,65684494.0,125852.0,,,403194134.0,316899764.0,283534.0,15026448.0,503425.0,44.0,14.0
IR-E-U-0530,2025,Engineering,2023-24,64367666.0,62087891.0,6348126.0,,,1086305265.0,951302532.0,6348126.0,105463370.0,86859465.0,90.0,20.0
IR-E-U-0530,2025,Engineering,2022-23,144187795.0,51498989.0,9399625.0,,,1090861681.0,1085425738.0,9399625.0,72217007.0,90215815.0,68.0,15.0
IR-E-U-0530,2025,Engineering,2021-22,377894677.0,39590170.0,7371741.0,,,890400832.0,747488659.0,7371741.0,73147966.0,80030903.0,53.0,13.0
IR-E-U-0105,2025,Engineering,2023-24,38508029.0,60017090.0,8545034.0,,,606950535.0,530776179.0,8545034.0,301707984.0,37286728.0,,
IR-E-U-0105,2025,Engineering,2022-23,119070623.0,48871554.0,9757878.0,,,602921616.0,445191721.0,9757878.0,258955001.0,16070482.0,,
IR-E-U-0105,2025,Engineering,2021-22,25836713.0,16949315.0,7649447.0,,,539961262.0,213229683.0,7649447.0,288301476.0,16462176.0,,
IR-E-U-0878,2025,Engineering,2023-24,101819519.0,116563472.0,13486836.0,,,409972097.0,126768023.0,13486836.0,162342218.0,48147614.0,33.0,20.0
IR-E-U-0878,2025,Engineering,2022-23,72929013.0,70755812.0,8710363.0,,,337009280.0,109176495.0,8710363.0,86759458.0,40016845.0,32.0,17.0
IR-E-U-0878,2025,Engineering,2021-22,48083518.0,78373090.0,3513969.0,,,276935777.0,84436029.0,3513969.0,113796867.0,11152942.0,28.0,16.0
IR-E-U-0622,2025,Engineering,2023-24,808259596.0,143187034.0,1271070.0,,,256274260.0,526810598.0,1271070.0,47727298.0,13570785.0,,
IR-E-U-0622,2025,Engineering,2022-23,196961986.0,58717915.0,292167.0,,,249488618.0,202135308.0,292167.0,37896786.0,6414030.0,,
IR-E-U-0622,2025,Engineering,2021-22,20191987.0,2218400.0,256116.0,,,175378257.0,193278798.0,256116.0,18957863.0,100000.0,,
IR-E-U-0149,2025,Engineering,2023-24,382997473.0,100219284.0,8116174.0,,,1025370217.0,616922275.0,8116174.0,99649330.0,213431069.0,139.0,37.0
IR-E-U-0149,2025,Engineering,2022-23,113666784.0,137213329.0,7190579.0,,,871689788.0,611739957.0,7190579.0,38312873.0,147812942.0,114.0,29.0
IR-E-U-0149,2025,Engineering,2021-22,81933275.0,61669792.0,8160475.0,,,807976584.0,585730455.0,8160475.0,63076201.0,98101993.0,86.0,25.0
IR-E-U-0474,2025,Engineering,2023-24,279234142.0,463157932.0,4125700.0,,,1261527415.0,261781217.0,4125700.0,182367890.0,34523860.0,,
IR-E-U-0474,2025,Engineering,2022-23,256249312.0,452354869.0,3482450.0,,,1235274862.0,211814542.0,3482450.0,152546781.0,30234057.0,,
IR-E-U-0474,2025,Engineering,2021-22,97908486.0,199349137.0,5735350.0,,,1196944719.0,178170332.0,5735350.0,55561903.0,29979500.0,,
IR-E-C-37013,2025,Engineering,2023-24,103075000.0,58629000.0,0.0,,,,,,99797117.0,7436424.0,28.0,10.0
IR-E-C-37013,2025,Engineering,2022-23,16227000.0,63007000.0,0.0,,,,,,10396141.0,4742440.0,8.0,6.0
IR-E-C-37013,2025,Engineering,2021-22,16666000.0,42302000.0,0.0,,,,,,47563371.0,5164259.0,26.0,8.0
IR-E-U-0221,2025,Engineering,2023-24,50413969.0,6602237.0,47386804.0,,,280314075.0,955011703.0,47386804.0,1021226489.0,7233268.0,,
IR-E-U-0221,2025,Engineering,2022-23,135630321.0,9289945.0,38289838.0,,,257144089.0,1015366957.0,38289838.0,710835123.0,6353431.0,,
IR-E-U-0221,2025,Engineering,2021-22,156474636.0,1998491.0,6714541.0,,,255301990.0,1415539394.0,6714541.0,725187634.0,10927179.0,,
IR-E-C-6379,2025,Engineering,2023-24,318321136.0,134054043.0,170086412.0,,,870941471.0,725242456.0,170086412.0,13000139.0,11612364.0,22.0,7.0
